epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7850.93,0.62885,0.63574,1.06935,0.87593,0.81034,0.86421,0.72721,0.64898,0.72666,0.98442,0.000821206,0.000821206,0.000821206
43,8036.89,0.63453,0.6096,1.07638,0.90259,0.77039,0.84896,0.71198,0.67449,0.76929,1.01506,0.000800577,0.000800577,0.000800577
44,8223.84,0.62604,0.61645,1.08025,0.91739,0.74668,0.84686,0.70305,0.71253,0.79191,1.03823,0.000779948,0.000779948,0.000779948
45,8410.96,0.63276,0.60315,1.08977,0.87095,0.81724,0.87448,0.71542,0.70472,0.71971,1.01323,0.000759318,0.000759318,0.000759318
46,8597.13,0.62103,0.5925,1.07326,0.84473,0.79471,0.86741,0.72256,0.67823,0.73227,0.99771,0.000738689,0.000738689,0.000738689
47,8783.83,0.5998,0.58889,1.05869,0.85105,0.77241,0.85145,0.72344,0.65629,0.72818,0.99152,0.00071806,0.00071806,0.00071806
48,8969.4,0.60203,0.57254,1.05587,0.94173,0.75862,0.85975,0.72052,0.66753,0.72062,1.00786,0.000697431,0.000697431,0.000697431
49,9155.61,0.58546,0.55951,1.0414,0.90048,0.78276,0.85854,0.72837,0.67569,0.71974,1.00687,0.000676802,0.000676802,0.000676802
50,9341.88,0.57687,0.57223,1.04286,0.89558,0.73103,0.85794,0.726,0.68099,0.76444,1.02639,0.000656173,0.000656173,0.000656173
51,9527.89,0.59529,0.57379,1.06683,0.90159,0.72414,0.85101,0.71306,0.68658,0.75919,0.99837,0.000635544,0.000635544,0.000635544
52,9714.51,0.5901,0.56234,1.05857,0.88658,0.81541,0.87003,0.7228,0.68475,0.70385,1.01168,0.000614915,0.000614915,0.000614915
53,9901.12,0.57713,0.57334,1.04696,0.86916,0.79418,0.85398,0.725,0.66253,0.72299,0.99171,0.000594286,0.000594286,0.000594286
54,10086.4,0.57327,0.53857,1.04596,0.91215,0.76897,0.85718,0.7383,0.65138,0.69465,0.98261,0.000573656,0.000573656,0.000573656
55,10272.9,0.56004,0.54259,1.03312,0.8616,0.79655,0.85999,0.72047,0.68004,0.70573,1.01131,0.000553027,0.000553027,0.000553027
56,10463.9,0.56101,0.54857,1.0357,0.91051,0.7807,0.86346,0.72506,0.65337,0.65789,0.98413,0.000532398,0.000532398,0.000532398
57,10650.9,0.54281,0.51102,1.03093,0.94978,0.77586,0.87253,0.74765,0.64113,0.63448,0.97503,0.000511769,0.000511769,0.000511769
58,10839.2,0.55179,0.53308,1.02736,0.90599,0.79872,0.87331,0.74534,0.63309,0.64687,0.96597,0.00049114,0.00049114,0.00049114
59,11025.5,0.54755,0.51207,1.02814,0.8799,0.7931,0.87353,0.7331,0.64347,0.62803,0.99454,0.000470511,0.000470511,0.000470511
60,11211.1,0.52226,0.50034,1.02383,0.91823,0.76552,0.86642,0.7453,0.61691,0.6332,0.9625,0.000449882,0.000449882,0.000449882
61,11398.6,0.53672,0.50006,1.02765,0.88589,0.79327,0.86825,0.73949,0.61151,0.64018,0.95679,0.000429253,0.000429253,0.000429253
62,11584.9,0.53069,0.49485,1.01003,0.94613,0.76699,0.87368,0.75207,0.62618,0.62967,0.96787,0.000408623,0.000408623,0.000408623
63,11771.3,0.53003,0.49974,1.01873,0.91583,0.78564,0.87068,0.74665,0.61172,0.64832,0.96177,0.000387994,0.000387994,0.000387994
64,11958.7,0.51735,0.48681,1.01825,0.8917,0.80177,0.8668,0.73636,0.62683,0.65494,0.9682,0.000367365,0.000367365,0.000367365
65,12146,0.51406,0.49002,1.00817,0.8886,0.81188,0.86914,0.7433,0.64451,0.66149,0.9941,0.000346736,0.000346736,0.000346736
66,12331.8,0.51502,0.46647,1.01579,0.91049,0.79655,0.87595,0.76088,0.61611,0.64257,0.97044,0.000326107,0.000326107,0.000326107
67,12520.1,0.50262,0.47451,0.99885,0.91094,0.79653,0.87644,0.75757,0.61498,0.64107,0.96364,0.000305478,0.000305478,0.000305478
68,12706.9,0.49417,0.45181,0.99642,0.90702,0.78212,0.86821,0.75179,0.60987,0.64572,0.9518,0.000284849,0.000284849,0.000284849
69,12893.2,0.49964,0.46292,1.00952,0.92171,0.78276,0.86942,0.75149,0.62093,0.63157,0.96627,0.00026422,0.00026422,0.00026422
70,13080.4,0.48426,0.45614,0.99598,0.91331,0.80031,0.8751,0.75504,0.6239,0.62231,0.97013,0.00024359,0.00024359,0.00024359
71,13266.2,0.50149,0.48684,0.98708,0.88104,0.81773,0.87618,0.75309,0.61789,0.61795,0.96436,0.000222961,0.000222961,0.000222961
72,13451.6,0.46387,0.41111,0.994,0.9333,0.79457,0.87235,0.75042,0.58542,0.59637,0.94698,0.000202332,0.000202332,0.000202332
73,13637.1,0.43986,0.38648,0.96874,0.90867,0.81421,0.8685,0.75135,0.60017,0.6227,0.96217,0.000181703,0.000181703,0.000181703
74,13821.8,0.43594,0.3909,0.95556,0.90225,0.80948,0.86831,0.757,0.59096,0.63012,0.94233,0.000161074,0.000161074,0.000161074
75,14011.8,0.44064,0.38332,0.96332,0.90738,0.81379,0.87379,0.76251,0.5794,0.614,0.93345,0.000140445,0.000140445,0.000140445
76,14198.2,0.43529,0.37679,0.96391,0.91676,0.8069,0.87268,0.75888,0.59197,0.6105,0.94567,0.000119816,0.000119816,0.000119816
77,14384.9,0.42537,0.35905,0.95041,0.90818,0.81141,0.86954,0.75888,0.59581,0.61669,0.9581,9.91865e-05,9.91865e-05,9.91865e-05
78,14570,0.41654,0.36083,0.94065,0.90594,0.82414,0.86549,0.75993,0.59988,0.60598,0.96158,7.85574e-05,7.85574e-05,7.85574e-05
79,14755.3,0.42124,0.36335,0.94943,0.89733,0.82521,0.86697,0.7653,0.58819,0.60836,0.95038,5.79283e-05,5.79283e-05,5.79283e-05
80,14940.6,0.40568,0.35181,0.9467,0.91838,0.82414,0.8718,0.76645,0.58612,0.61342,0.95132,3.72991e-05,3.72991e-05,3.72991e-05
